policy,target_global_coverage,true_class,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision
raw_confidence,0.8,SNIa,757,632,125,0.8348745046235139,0.16512549537648613,0.8829113924050633,0.11708860759493671,128,74,54,0.421875,71,0.432
raw_confidence,0.8,SNII,560,408,152,0.7285714285714285,0.2714285714285714,0.5196078431372549,0.4803921568627451,283,196,87,0.30742049469964666,65,0.5723684210526315
raw_confidence,0.8,SNIbc,204,172,32,0.8431372549019608,0.1568627450980392,0.877906976744186,0.12209302325581395,35,21,14,0.4,18,0.4375
raw_confidence,0.8,SLSN,55,49,6,0.8909090909090909,0.10909090909090909,0.8163265306122449,0.1836734693877551,12,9,3,0.25,3,0.5
raw_confidence,0.9,SNIa,757,694,63,0.916776750330251,0.083223249669749,0.8688760806916427,0.13112391930835735,128,91,37,0.2890625,26,0.5873015873015873
raw_confidence,0.9,SNII,560,488,72,0.8714285714285714,0.12857142857142856,0.5040983606557377,0.4959016393442623,283,242,41,0.14487632508833923,31,0.5694444444444444
raw_confidence,0.9,SNIbc,204,185,19,0.9068627450980392,0.09313725490196079,0.8702702702702703,0.12972972972972974,35,24,11,0.3142857142857143,8,0.5789473684210527
raw_confidence,0.9,SLSN,55,51,4,0.9272727272727272,0.07272727272727272,0.7843137254901961,0.21568627450980393,12,11,1,0.08333333333333333,3,0.25
raw_margin,0.8,SNIa,757,623,134,0.8229854689564069,0.17701453104359313,0.8924558587479936,0.10754414125200643,128,67,61,0.4765625,73,0.4552238805970149
raw_margin,0.8,SNII,560,415,145,0.7410714285714286,0.25892857142857145,0.5373493975903615,0.46265060240963857,283,192,91,0.3215547703180212,54,0.6275862068965518
raw_margin,0.8,SNIbc,204,172,32,0.8431372549019608,0.1568627450980392,0.877906976744186,0.12209302325581395,35,21,14,0.4,18,0.4375
raw_margin,0.8,SLSN,55,51,4,0.9272727272727272,0.07272727272727272,0.7843137254901961,0.21568627450980393,12,11,1,0.08333333333333333,3,0.25
raw_margin,0.9,SNIa,757,686,71,0.9062087186261559,0.09379128137384413,0.8629737609329446,0.13702623906705538,128,94,34,0.265625,37,0.4788732394366197
raw_margin,0.9,SNII,560,491,69,0.8767857142857143,0.12321428571428572,0.5173116089613035,0.48268839103869654,283,237,46,0.1625441696113074,23,0.6666666666666666
raw_margin,0.9,SNIbc,204,189,15,0.9264705882352942,0.07352941176470588,0.8624338624338624,0.13756613756613756,35,26,9,0.2571428571428571,6,0.6
raw_margin,0.9,SLSN,55,52,3,0.9454545454545454,0.05454545454545454,0.7884615384615384,0.21153846153846154,12,11,1,0.08333333333333333,2,0.3333333333333333
raw_negative_entropy,0.8,SNIa,757,637,120,0.8414795244385733,0.15852047556142668,0.869701726844584,0.130298273155416,128,83,45,0.3515625,75,0.375
raw_negative_entropy,0.8,SNII,560,407,153,0.7267857142857143,0.2732142857142857,0.4963144963144963,0.5036855036855037,283,205,78,0.2756183745583039,75,0.5098039215686274
raw_negative_entropy,0.8,SNIbc,204,174,30,0.8529411764705882,0.14705882352941177,0.8735632183908046,0.12643678160919541,35,22,13,0.37142857142857144,17,0.43333333333333335
raw_negative_entropy,0.8,SLSN,55,43,12,0.7818181818181819,0.21818181818181817,0.8372093023255814,0.16279069767441862,12,7,5,0.4166666666666667,7,0.4166666666666667
raw_negative_entropy,0.9,SNIa,757,695,62,0.9180977542932629,0.08190224570673713,0.8618705035971223,0.1381294964028777,128,96,32,0.25,30,0.5161290322580645
raw_negative_entropy,0.9,SNII,560,483,77,0.8625,0.1375,0.4989648033126294,0.5010351966873706,283,242,41,0.14487632508833923,36,0.5324675324675324
raw_negative_entropy,0.9,SNIbc,204,190,14,0.9313725490196079,0.06862745098039216,0.8526315789473684,0.14736842105263157,35,28,7,0.2,7,0.5
raw_negative_entropy,0.9,SLSN,55,50,5,0.9090909090909091,0.09090909090909091,0.76,0.24,12,12,0,0.0,5,0.0
raw_transient_mass,0.8,SNIa,757,642,115,0.8480845442536328,0.15191545574636725,0.8660436137071651,0.13395638629283488,128,86,42,0.328125,73,0.3652173913043478
raw_transient_mass,0.8,SNII,560,408,152,0.7285714285714285,0.2714285714285714,0.5,0.5,283,204,79,0.2791519434628975,73,0.5197368421052632
raw_transient_mass,0.8,SNIbc,204,174,30,0.8529411764705882,0.14705882352941177,0.867816091954023,0.13218390804597702,35,23,12,0.34285714285714286,18,0.4
raw_transient_mass,0.8,SLSN,55,37,18,0.6727272727272727,0.32727272727272727,0.8108108108108109,0.1891891891891892,12,7,5,0.4166666666666667,13,0.2777777777777778
raw_transient_mass,0.9,SNIa,757,695,62,0.9180977542932629,0.08190224570673713,0.8575539568345324,0.14244604316546763,128,99,29,0.2265625,33,0.46774193548387094
raw_transient_mass,0.9,SNII,560,482,78,0.8607142857142858,0.1392857142857143,0.5020746887966805,0.4979253112033195,283,240,43,0.1519434628975265,35,0.5512820512820513
raw_transient_mass,0.9,SNIbc,204,191,13,0.9362745098039216,0.06372549019607843,0.8534031413612565,0.14659685863874344,35,28,7,0.2,6,0.5384615384615384
raw_transient_mass,0.9,SLSN,55,50,5,0.9090909090909091,0.09090909090909091,0.76,0.24,12,12,0,0.0,5,0.0
raw_conditional_transient_max,0.8,SNIa,757,627,130,0.8282694848084544,0.17173051519154559,0.8803827751196173,0.11961722488038277,128,75,53,0.4140625,77,0.4076923076923077
raw_conditional_transient_max,0.8,SNII,560,416,144,0.7428571428571429,0.2571428571428571,0.5240384615384616,0.47596153846153844,283,198,85,0.3003533568904594,59,0.5902777777777778
raw_conditional_transient_max,0.8,SNIbc,204,169,35,0.8284313725490197,0.1715686274509804,0.893491124260355,0.10650887573964497,35,18,17,0.4857142857142857,18,0.4857142857142857
raw_conditional_transient_max,0.8,SLSN,55,49,6,0.8909090909090909,0.10909090909090909,0.8163265306122449,0.1836734693877551,12,9,3,0.25,3,0.5
raw_conditional_transient_max,0.9,SNIa,757,693,64,0.9154557463672391,0.0845442536327609,0.8556998556998557,0.1443001443001443,128,100,28,0.21875,36,0.4375
raw_conditional_transient_max,0.9,SNII,560,484,76,0.8642857142857143,0.1357142857142857,0.5103305785123967,0.4896694214876033,283,237,46,0.1625441696113074,30,0.6052631578947368
raw_conditional_transient_max,0.9,SNIbc,204,189,15,0.9264705882352942,0.07352941176470588,0.873015873015873,0.12698412698412698,35,24,11,0.3142857142857143,4,0.7333333333333333
raw_conditional_transient_max,0.9,SLSN,55,52,3,0.9454545454545454,0.05454545454545454,0.7884615384615384,0.21153846153846154,12,11,1,0.08333333333333333,2,0.3333333333333333
calibrated_confidence,0.8,SNIa,757,626,131,0.8269484808454426,0.17305151915455746,0.8865814696485623,0.1134185303514377,128,71,57,0.4453125,74,0.4351145038167939
calibrated_confidence,0.8,SNII,560,413,147,0.7375,0.2625,0.5326876513317191,0.46731234866828086,283,193,90,0.31802120141342755,57,0.6122448979591837
calibrated_confidence,0.8,SNIbc,204,170,34,0.8333333333333334,0.16666666666666666,0.8823529411764706,0.11764705882352941,35,20,15,0.42857142857142855,19,0.4411764705882353
calibrated_confidence,0.8,SLSN,55,52,3,0.9454545454545454,0.05454545454545454,0.7884615384615384,0.21153846153846154,12,11,1,0.08333333333333333,2,0.3333333333333333
calibrated_confidence,0.9,SNIa,757,689,68,0.9101717305151915,0.08982826948480846,0.8621190130624092,0.1378809869375907,128,95,33,0.2578125,35,0.4852941176470588
calibrated_confidence,0.9,SNII,560,490,70,0.875,0.125,0.5102040816326531,0.4897959183673469,283,240,43,0.1519434628975265,27,0.6142857142857143
calibrated_confidence,0.9,SNIbc,204,187,17,0.9166666666666666,0.08333333333333333,0.8663101604278075,0.13368983957219252,35,25,10,0.2857142857142857,7,0.5882352941176471
calibrated_confidence,0.9,SLSN,55,52,3,0.9454545454545454,0.05454545454545454,0.7884615384615384,0.21153846153846154,12,11,1,0.08333333333333333,2,0.3333333333333333
calibrated_margin,0.8,SNIa,757,622,135,0.821664464993395,0.178335535006605,0.8890675241157556,0.11093247588424437,128,69,59,0.4609375,76,0.43703703703703706
calibrated_margin,0.8,SNII,560,416,144,0.7428571428571429,0.2571428571428571,0.5360576923076923,0.4639423076923077,283,193,90,0.31802120141342755,54,0.625
calibrated_margin,0.8,SNIbc,204,172,32,0.8431372549019608,0.1568627450980392,0.8837209302325582,0.11627906976744186,35,20,15,0.42857142857142855,17,0.46875
calibrated_margin,0.8,SLSN,55,51,4,0.9272727272727272,0.07272727272727272,0.7843137254901961,0.21568627450980393,12,11,1,0.08333333333333333,3,0.25
calibrated_margin,0.9,SNIa,757,685,72,0.904887714663144,0.095112285336856,0.8613138686131386,0.1386861313868613,128,95,33,0.2578125,39,0.4583333333333333
calibrated_margin,0.9,SNII,560,492,68,0.8785714285714286,0.12142857142857143,0.5182926829268293,0.4817073170731707,283,237,46,0.1625441696113074,22,0.6764705882352942
calibrated_margin,0.9,SNIbc,204,189,15,0.9264705882352942,0.07352941176470588,0.8624338624338624,0.13756613756613756,35,26,9,0.2571428571428571,6,0.6
calibrated_margin,0.9,SLSN,55,52,3,0.9454545454545454,0.05454545454545454,0.7884615384615384,0.21153846153846154,12,11,1,0.08333333333333333,2,0.3333333333333333
calibrated_negative_entropy,0.8,SNIa,757,629,128,0.8309114927344782,0.1690885072655218,0.8775834658187599,0.12241653418124006,128,77,51,0.3984375,77,0.3984375
calibrated_negative_entropy,0.8,SNII,560,413,147,0.7375,0.2625,0.5012106537530266,0.49878934624697335,283,206,77,0.27208480565371024,70,0.5238095238095238
calibrated_negative_entropy,0.8,SNIbc,204,171,33,0.8382352941176471,0.16176470588235295,0.8947368421052632,0.10526315789473684,35,18,17,0.4857142857142857,16,0.5151515151515151
calibrated_negative_entropy,0.8,SLSN,55,48,7,0.8727272727272727,0.12727272727272726,0.8333333333333334,0.16666666666666666,12,8,4,0.3333333333333333,3,0.5714285714285714
calibrated_negative_entropy,0.9,SNIa,757,689,68,0.9101717305151915,0.08982826948480846,0.8664731494920174,0.13352685050798258,128,92,36,0.28125,32,0.5294117647058824
calibrated_negative_entropy,0.9,SNII,560,491,69,0.8767857142857143,0.12321428571428572,0.505091649694501,0.49490835030549896,283,243,40,0.1413427561837456,29,0.5797101449275363
calibrated_negative_entropy,0.9,SNIbc,204,187,17,0.9166666666666666,0.08333333333333333,0.8556149732620321,0.1443850267379679,35,27,8,0.22857142857142856,9,0.47058823529411764
calibrated_negative_entropy,0.9,SLSN,55,51,4,0.9272727272727272,0.07272727272727272,0.7843137254901961,0.21568627450980393,12,11,1,0.08333333333333333,3,0.25
calibrated_transient_mass,0.8,SNIa,757,641,116,0.8467635402906208,0.15323645970937913,0.8689547581903276,0.1310452418096724,128,84,44,0.34375,72,0.3793103448275862
calibrated_transient_mass,0.8,SNII,560,406,154,0.725,0.275,0.5,0.5,283,203,80,0.2826855123674912,74,0.5194805194805194
calibrated_transient_mass,0.8,SNIbc,204,174,30,0.8529411764705882,0.14705882352941177,0.867816091954023,0.13218390804597702,35,23,12,0.34285714285714286,18,0.4
calibrated_transient_mass,0.8,SLSN,55,40,15,0.7272727272727273,0.2727272727272727,0.8,0.2,12,8,4,0.3333333333333333,11,0.26666666666666666
calibrated_transient_mass,0.9,SNIa,757,692,65,0.9141347424042272,0.08586525759577279,0.8598265895953757,0.14017341040462428,128,97,31,0.2421875,34,0.47692307692307695
calibrated_transient_mass,0.9,SNII,560,484,76,0.8642857142857143,0.1357142857142857,0.5020661157024794,0.49793388429752067,283,241,42,0.14840989399293286,34,0.5526315789473685
calibrated_transient_mass,0.9,SNIbc,204,192,12,0.9411764705882353,0.058823529411764705,0.8541666666666666,0.14583333333333334,35,28,7,0.2,5,0.5833333333333334
calibrated_transient_mass,0.9,SLSN,55,50,5,0.9090909090909091,0.09090909090909091,0.76,0.24,12,12,0,0.0,5,0.0
predicted_class_rate,0.8,SNIa,757,709,48,0.9365918097754293,0.06340819022457067,0.8871650211565585,0.11283497884344147,128,80,48,0.375,0,1.0
predicted_class_rate,0.8,SNII,560,413,147,0.7375,0.2625,0.6707021791767555,0.32929782082324455,283,136,147,0.519434628975265,0,1.0
predicted_class_rate,0.8,SNIbc,204,128,76,0.6274509803921569,0.37254901960784315,0.7890625,0.2109375,35,27,8,0.22857142857142856,68,0.10526315789473684
predicted_class_rate,0.8,SLSN,55,11,44,0.2,0.8,0.0,1.0,12,11,1,0.08333333333333333,43,0.022727272727272728
predicted_class_rate,0.9,SNIa,757,750,7,0.9907529722589168,0.009247027741083224,0.8386666666666667,0.16133333333333333,128,121,7,0.0546875,0,1.0
predicted_class_rate,0.9,SNII,560,460,100,0.8214285714285714,0.17857142857142858,0.6021739130434782,0.3978260869565217,283,183,100,0.35335689045936397,0,1.0
predicted_class_rate,0.9,SNIbc,204,196,8,0.9607843137254902,0.0392156862745098,0.8622448979591837,0.1377551020408163,35,27,8,0.22857142857142856,0,1.0
predicted_class_rate,0.9,SLSN,55,12,43,0.21818181818181817,0.7818181818181819,0.0,1.0,12,12,0,0.0,43,0.0
learned_shape,0.8,SNIa,757,619,138,0.8177014531043593,0.18229854689564068,0.901453957996769,0.09854604200323101,128,61,67,0.5234375,71,0.4855072463768116
learned_shape,0.8,SNII,560,417,143,0.7446428571428572,0.25535714285714284,0.5539568345323741,0.4460431654676259,283,186,97,0.34275618374558303,46,0.6783216783216783
learned_shape,0.8,SNIbc,204,174,30,0.8529411764705882,0.14705882352941177,0.867816091954023,0.13218390804597702,35,23,12,0.34285714285714286,18,0.4
learned_shape,0.8,SLSN,55,51,4,0.9272727272727272,0.07272727272727272,0.7843137254901961,0.21568627450980393,12,11,1,0.08333333333333333,3,0.25
learned_shape,0.9,SNIa,757,685,72,0.904887714663144,0.095112285336856,0.8700729927007299,0.12992700729927006,128,89,39,0.3046875,33,0.5416666666666666
learned_shape,0.9,SNII,560,491,69,0.8767857142857143,0.12321428571428572,0.5274949083503055,0.4725050916496945,283,232,51,0.18021201413427562,18,0.7391304347826086
learned_shape,0.9,SNIbc,204,190,14,0.9313725490196079,0.06862745098039216,0.8473684210526315,0.15263157894736842,35,29,6,0.17142857142857143,8,0.42857142857142855
learned_shape,0.9,SLSN,55,52,3,0.9454545454545454,0.05454545454545454,0.7884615384615384,0.21153846153846154,12,11,1,0.08333333333333333,2,0.3333333333333333
learned_full,0.8,SNIa,757,664,93,0.8771466314398944,0.12285336856010567,0.9081325301204819,0.09186746987951808,128,61,67,0.5234375,26,0.7204301075268817
learned_full,0.8,SNII,560,407,153,0.7267857142857143,0.2732142857142857,0.6388206388206388,0.36117936117936117,283,147,136,0.48056537102473496,17,0.8888888888888888
learned_full,0.8,SNIbc,204,145,59,0.7107843137254902,0.28921568627450983,0.8551724137931035,0.14482758620689656,35,21,14,0.4,45,0.23728813559322035
learned_full,0.8,SLSN,55,45,10,0.8181818181818182,0.18181818181818182,0.7777777777777778,0.2222222222222222,12,10,2,0.16666666666666666,8,0.2
learned_full,0.9,SNIa,757,724,33,0.9564068692206077,0.043593130779392336,0.8591160220994475,0.1408839779005525,128,102,26,0.203125,7,0.7878787878787878
learned_full,0.9,SNII,560,468,92,0.8357142857142857,0.16428571428571428,0.5769230769230769,0.4230769230769231,283,198,85,0.3003533568904594,7,0.9239130434782609
learned_full,0.9,SNIbc,204,178,26,0.8725490196078431,0.12745098039215685,0.8595505617977528,0.1404494382022472,35,25,10,0.2857142857142857,16,0.38461538461538464
learned_full,0.9,SLSN,55,48,7,0.8727272727272727,0.12727272727272726,0.7916666666666666,0.20833333333333334,12,10,2,0.16666666666666666,5,0.2857142857142857
