policy,deferral_cost,realised_cost_per_object,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision
raw_confidence,0.05,0.05000000000000001,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
calibrated_confidence,0.05,0.05015862944162437,1576,35,1541,0.022208121827411168,0.9777918781725888,0.9428571428571428,0.05714285714285714,458,2,456,0.9956331877729258,1085,0.29591174561972744
predicted_class_rate,0.05,0.05000000000000001,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
learned_shape,0.05,0.049651015228426396,1576,11,1565,0.006979695431472081,0.993020304568528,1.0,0.0,458,0,458,1.0,1107,0.2926517571884984
learned_full,0.05,0.04743020304568528,1576,401,1175,0.25444162436548223,0.7455583756345178,0.9600997506234414,0.0399002493765586,458,16,442,0.9650655021834061,733,0.37617021276595747
all_accept,0.05,0.2906091370558376,1576,1576,0,1.0,0.0,0.7093908629441624,0.2906091370558376,458,458,0,0.0,0,
all_defer,0.05,0.05,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
oracle_reference,0.05,0.01453045685279188,1576,1118,458,0.7093908629441624,0.2906091370558376,1.0,0.0,458,0,458,1.0,0,1.0
raw_confidence,0.1,0.10000000000000002,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
calibrated_confidence,0.1,0.09879441624365483,1576,129,1447,0.08185279187817258,0.9181472081218274,0.9147286821705426,0.08527131782945736,458,11,447,0.9759825327510917,1000,0.308914996544575
predicted_class_rate,0.1,0.10000000000000002,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
learned_shape,0.1,0.09898477157360407,1576,186,1390,0.11802030456852793,0.881979695431472,0.9086021505376344,0.0913978494623656,458,17,441,0.962882096069869,949,0.3172661870503597
learned_full,0.1,0.08217005076142132,1576,541,1035,0.3432741116751269,0.6567258883248731,0.9519408502772643,0.04805914972273567,458,26,432,0.9432314410480349,603,0.41739130434782606
all_accept,0.1,0.2906091370558376,1576,1576,0,1.0,0.0,0.7093908629441624,0.2906091370558376,458,458,0,0.0,0,
all_defer,0.1,0.1,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
oracle_reference,0.1,0.02906091370558376,1576,1118,458,0.7093908629441624,0.2906091370558376,1.0,0.0,458,0,458,1.0,0,1.0
raw_confidence,0.2,0.19885786802030458,1576,9,1567,0.005710659898477157,0.9942893401015228,1.0,0.0,458,0,458,1.0,1109,0.29227823867262287
calibrated_confidence,0.2,0.17906091370558377,1576,395,1181,0.2506345177664975,0.7493654822335025,0.8835443037974684,0.11645569620253164,458,46,412,0.8995633187772926,769,0.3488569009314141
predicted_class_rate,0.2,0.16065989847715736,1576,1055,521,0.6694162436548223,0.33058375634517767,0.8587677725118483,0.14123222748815165,458,149,309,0.6746724890829694,212,0.5930902111324377
learned_shape,0.2,0.17043147208121828,1576,653,923,0.4143401015228426,0.5856598984771574,0.8713629402756509,0.12863705972434916,458,84,374,0.8165938864628821,549,0.40520043336944744
learned_full,0.2,0.1416243654822335,1576,725,851,0.4600253807106599,0.5399746192893401,0.926896551724138,0.07310344827586207,458,53,405,0.8842794759825328,446,0.47591069330199764
all_accept,0.2,0.2906091370558376,1576,1576,0,1.0,0.0,0.7093908629441624,0.2906091370558376,458,458,0,0.0,0,
all_defer,0.2,0.2,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
oracle_reference,0.2,0.05812182741116752,1576,1118,458,0.7093908629441624,0.2906091370558376,1.0,0.0,458,0,458,1.0,0,1.0
raw_confidence,0.3,0.29447969543147207,1576,29,1547,0.018401015228426396,0.9815989847715736,1.0,0.0,458,0,458,1.0,1089,0.2960568842921784
calibrated_confidence,0.3,0.23451776649746195,1576,724,852,0.4593908629441624,0.5406091370558376,0.8425414364640884,0.1574585635359116,458,114,344,0.7510917030567685,508,0.40375586854460094
predicted_class_rate,0.3,0.19460659898477156,1576,1057,519,0.6706852791878173,0.3293147208121827,0.8571428571428571,0.14285714285714285,458,151,307,0.6703056768558951,212,0.5915221579961464
learned_shape,0.3,0.21598984771573604,1576,948,628,0.6015228426395939,0.39847715736040606,0.8396624472573839,0.16033755274261605,458,152,306,0.6681222707423581,322,0.4872611464968153
learned_full,0.3,0.18527918781725888,1576,916,660,0.5812182741116751,0.41878172588832485,0.8973799126637555,0.10262008733624454,458,94,364,0.7947598253275109,296,0.5515151515151515
all_accept,0.3,0.2906091370558376,1576,1576,0,1.0,0.0,0.7093908629441624,0.2906091370558376,458,458,0,0.0,0,
all_defer,0.3,0.3,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
oracle_reference,0.3,0.08718274111675127,1576,1118,458,0.7093908629441624,0.2906091370558376,1.0,0.0,458,0,458,1.0,0,1.0
raw_confidence,0.4,0.3649746192893401,1576,163,1413,0.1034263959390863,0.8965736040609137,0.9386503067484663,0.06134969325153374,458,10,448,0.9781659388646288,965,0.3170559094125973
calibrated_confidence,0.4,0.26624365482233503,1576,1012,564,0.6421319796954315,0.35786802030456855,0.808300395256917,0.191699604743083,458,194,264,0.5764192139737991,300,0.46808510638297873
predicted_class_rate,0.4,0.22753807106598986,1576,1057,519,0.6706852791878173,0.3293147208121827,0.8571428571428571,0.14285714285714285,458,151,307,0.6703056768558951,212,0.5915221579961464
