policy,target_coverage,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision,auto_accuracy_sd,selective_risk_sd,error_capture_fraction_sd
raw_confidence,0.5,1576.0,788.0,788.0,0.5,0.5,0.817258883248731,0.18274111675126903,458.0,144.0,314.0,0.6855895196506551,474.0,0.39847715736040606,,,
raw_confidence,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.7949260042283298,0.20507399577167018,458.0,194.0,264.0,0.5764192139737991,366.0,0.41904761904761906,,,
raw_confidence,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7833182230281052,0.21668177697189483,458.0,239.0,219.0,0.4781659388646288,254.0,0.4630021141649049,,,
raw_confidence,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7620935765265662,0.23790642347343377,458.0,300.0,158.0,0.34497816593886466,157.0,0.5015873015873016,,,
raw_confidence,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7404795486600846,0.25952045133991536,458.0,368.0,90.0,0.1965065502183406,68.0,0.569620253164557,,,
raw_confidence,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7267869071476286,0.2732130928523714,458.0,409.0,49.0,0.10698689956331878,30.0,0.620253164556962,,,
raw_confidence,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
raw_margin,0.5,1576.0,788.0,788.0,0.5,0.5,0.8439086294416244,0.15609137055837563,458.0,123.0,335.0,0.7314410480349345,453.0,0.4251269035532995,,,
raw_margin,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8298097251585623,0.17019027484143764,458.0,161.0,297.0,0.648471615720524,333.0,0.4714285714285714,,,
raw_margin,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.8041704442429737,0.1958295557570263,458.0,216.0,242.0,0.5283842794759825,231.0,0.5116279069767442,,,
raw_margin,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7692307692307693,0.23076923076923078,458.0,291.0,167.0,0.3646288209606987,148.0,0.5301587301587302,,,
raw_margin,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7404795486600846,0.25952045133991536,458.0,368.0,90.0,0.1965065502183406,68.0,0.569620253164557,,,
raw_margin,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7234468937875751,0.27655310621242485,458.0,414.0,44.0,0.09606986899563319,35.0,0.5569620253164557,,,
raw_margin,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
raw_negative_entropy,0.5,1576.0,788.0,788.0,0.5,0.5,0.7880710659898477,0.21192893401015228,458.0,167.0,291.0,0.6353711790393013,497.0,0.36928934010152287,,,
raw_negative_entropy,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.773784355179704,0.226215644820296,458.0,214.0,244.0,0.5327510917030568,386.0,0.3873015873015873,,,
raw_negative_entropy,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7615593834995467,0.2384406165004533,458.0,263.0,195.0,0.425764192139738,278.0,0.41226215644820297,,,
raw_negative_entropy,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7486122125297383,0.2513877874702617,458.0,317.0,141.0,0.3078602620087336,174.0,0.44761904761904764,,,
raw_negative_entropy,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7334273624823695,0.26657263751763044,458.0,378.0,80.0,0.17467248908296942,78.0,0.5063291139240507,,,
raw_negative_entropy,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7274549098196392,0.2725450901803607,458.0,408.0,50.0,0.1091703056768559,29.0,0.6329113924050633,,,
raw_negative_entropy,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
raw_transient_mass,0.5,1576.0,788.0,788.0,0.5,0.5,0.7893401015228426,0.21065989847715735,458.0,166.0,292.0,0.6375545851528385,496.0,0.37055837563451777,,,
raw_transient_mass,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.7727272727272727,0.22727272727272727,458.0,215.0,243.0,0.5305676855895196,387.0,0.38571428571428573,,,
raw_transient_mass,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7588395285584769,0.2411604714415231,458.0,266.0,192.0,0.4192139737991266,281.0,0.4059196617336152,,,
raw_transient_mass,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.746233148295004,0.253766851704996,458.0,320.0,138.0,0.30131004366812225,177.0,0.4380952380952381,,,
raw_transient_mass,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.732722143864598,0.26727785613540195,458.0,379.0,79.0,0.17248908296943233,79.0,0.5,,,
raw_transient_mass,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.72812291249165,0.27187708750835005,458.0,407.0,51.0,0.11135371179039301,28.0,0.6455696202531646,,,
raw_transient_mass,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
raw_conditional_transient_max,0.5,1576.0,788.0,788.0,0.5,0.5,0.8223350253807107,0.17766497461928935,458.0,140.0,318.0,0.6943231441048034,470.0,0.4035532994923858,,,
raw_conditional_transient_max,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8002114164904862,0.19978858350951373,458.0,189.0,269.0,0.5873362445414847,361.0,0.42698412698412697,,,
raw_conditional_transient_max,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7805983680870353,0.21940163191296463,458.0,242.0,216.0,0.47161572052401746,257.0,0.45665961945031713,,,
raw_conditional_transient_max,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7620935765265662,0.23790642347343377,458.0,300.0,158.0,0.34497816593886466,157.0,0.5015873015873016,,,
raw_conditional_transient_max,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7376586741889986,0.2623413258110014,458.0,372.0,86.0,0.18777292576419213,72.0,0.5443037974683544,,,
raw_conditional_transient_max,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7274549098196392,0.2725450901803607,458.0,408.0,50.0,0.1091703056768559,29.0,0.6329113924050633,,,
raw_conditional_transient_max,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
calibrated_confidence,0.5,1576.0,788.0,788.0,0.5,0.5,0.8388324873096447,0.16116751269035534,458.0,127.0,331.0,0.722707423580786,457.0,0.4200507614213198,,,
calibrated_confidence,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8171247357293869,0.1828752642706131,458.0,173.0,285.0,0.6222707423580786,345.0,0.4523809523809524,,,
calibrated_confidence,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7914777878513146,0.2085222121486854,458.0,230.0,228.0,0.4978165938864629,245.0,0.4820295983086681,,,
