policy_a,policy_b,metric,point_delta,ci_low,ci_high,ci_excludes_zero,n_bootstrap,note
learned_shape,predicted_class_rate,delta_roc_auc,-0.01261675588162235,-0.049416361201716455,0.024645655122570716,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_shape,predicted_class_rate,delta_aurc,-0.008710276100056308,-0.031976230021355016,0.015068937880306724,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_shape,predicted_class_rate,delta_selective_risk_at_0.80,0.014684377478191912,-0.0015860428231562202,0.030134813639968283,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_shape,predicted_class_rate,delta_selective_risk_at_0.90,0.012331452750352608,0.0035260930888575404,0.02115655853314527,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,predicted_class_rate,delta_roc_auc,0.0828156914331396,0.05683636250868955,0.1069471665252618,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,predicted_class_rate,delta_aurc,-0.05016862703046498,-0.07112156592540275,-0.028639538344830615,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,predicted_class_rate,delta_selective_risk_at_0.80,-0.018900872323552736,-0.0317208564631245,-0.006344171292624906,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,predicted_class_rate,delta_selective_risk_at_0.90,-0.006071227080394921,-0.013399153737658653,0.0014104372355430161,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,learned_shape,delta_roc_auc,0.09543244731476196,0.07046273086441386,0.12128077112886293,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,learned_shape,delta_aurc,-0.04145835093040867,-0.06137206097142815,-0.02274819816633863,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,learned_shape,delta_selective_risk_at_0.80,-0.03358524980174464,-0.0468080888183981,-0.019825535289452828,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,learned_shape,delta_selective_risk_at_0.90,-0.018402679830747528,-0.027503526093088843,-0.009873060648801113,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
calibrated_confidence,raw_confidence,delta_roc_auc,0.019773433724559808,0.006712852461015587,0.032520064644570926,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
calibrated_confidence,raw_confidence,delta_aurc,-0.003948362917505877,-0.011295817236615381,0.003962073016673706,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
calibrated_confidence,raw_confidence,delta_selective_risk_at_0.80,-0.00412609040444092,-0.012688342585249812,0.004758128469468659,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
calibrated_confidence,raw_confidence,delta_selective_risk_at_0.90,0.0016135401974612137,-0.005641748942172065,0.009167842031029605,False,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,calibrated_confidence,delta_roc_auc,0.12718322264088192,0.10028359374032665,0.15431382325595072,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,calibrated_confidence,delta_aurc,-0.05359424840862628,-0.07290547478629497,-0.034860404372338644,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,calibrated_confidence,delta_selective_risk_at_0.80,-0.04529579698651864,-0.059476605868358456,-0.030927835051546393,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
learned_full,calibrated_confidence,delta_selective_risk_at_0.90,-0.0251854724964739,-0.03526093088857543,-0.014809590973201725,True,1000,"Paired stratified bootstrap over fixed out-of-fold scores. For delta_aurc and delta_selective_risk, negative favours policy_a; for delta_roc_auc, positive favours policy_a."
