policy,roc_auc_correctness,average_precision_correctness,aurc,excess_aurc,brier_correctness,ece_correctness
learned_full,0.8358129379506449,0.9115545375597336,0.11543483612522662,0.06830189572735143,0.1442061125211759,0.019138190062678424
predicted_class_rate,0.7524919733460408,0.844888247249096,0.16822257170503407,0.12108963130715888,0.15964759857437114,0.016068609042339758
learned_shape,0.7401629547460765,0.8588992109017177,0.1568063680590081,0.10967342766113292,0.1731410855085513,0.020189444177060225
raw_margin,0.7190632055057768,0.8532099007894458,0.16190974687390794,0.11477680647603275,,
calibrated_margin,0.7138146331174664,0.8463826952780997,0.1673469522725285,0.1202140118746533,,
calibrated_confidence,0.7083531883978721,0.8444576280706118,0.16903673768032995,0.12190379728245476,0.18603456738914645,0.04509487003800478
raw_conditional_transient_max,0.6919131949598081,0.8398181263820462,0.17272488193004187,0.12559194153216668,,
raw_confidence,0.6887660044839896,0.840654641849996,0.17272789602036767,0.12559495562249248,0.2546618111938376,0.258674002538071
calibrated_negative_entropy,0.674111990375827,0.8304117978536847,0.18135409491168428,0.1342211545138091,,
raw_negative_entropy,0.6424213544148549,0.8125911950946647,0.19684864706731395,0.14971570666943876,,
calibrated_transient_mass,0.6242432290974994,0.7759637248896052,0.21321351778915604,0.16608057739128085,,
raw_transient_mass,0.6239356383435799,0.776360942099714,0.21323159501030434,0.16609865461242915,,
