policy,threshold,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision
raw_confidence,0.5,1576,511,1065,0.32423857868020306,0.675761421319797,0.8610567514677103,0.13894324853228962,458,71,387,0.8449781659388647,678,0.36338028169014086
raw_confidence,0.6,1576,163,1413,0.1034263959390863,0.8965736040609137,0.9386503067484663,0.06134969325153374,458,10,448,0.9781659388646288,965,0.3170559094125973
raw_confidence,0.7,1576,29,1547,0.018401015228426396,0.9815989847715736,1.0,0.0,458,0,458,1.0,1089,0.2960568842921784
raw_confidence,0.8,1576,9,1567,0.005710659898477157,0.9942893401015228,1.0,0.0,458,0,458,1.0,1109,0.29227823867262287
calibrated_confidence,0.5,1576,1286,290,0.815989847715736,0.18401015228426396,0.7597200622083982,0.24027993779160187,458,309,149,0.32532751091703055,141,0.5137931034482759
calibrated_confidence,0.6,1576,1012,564,0.6421319796954315,0.35786802030456855,0.808300395256917,0.191699604743083,458,194,264,0.5764192139737991,300,0.46808510638297873
calibrated_confidence,0.7,1576,724,852,0.4593908629441624,0.5406091370558376,0.8425414364640884,0.1574585635359116,458,114,344,0.7510917030567685,508,0.40375586854460094
calibrated_confidence,0.8,1576,395,1181,0.2506345177664975,0.7493654822335025,0.8835443037974684,0.11645569620253164,458,46,412,0.8995633187772926,769,0.3488569009314141
learned_shape,0.5,1576,1346,230,0.8540609137055838,0.14593908629441624,0.7622585438335809,0.237741456166419,458,320,138,0.30131004366812225,92,0.6
learned_shape,0.6,1576,1153,423,0.7315989847715736,0.2684010152284264,0.7970511708586296,0.20294882914137033,458,234,224,0.4890829694323144,199,0.5295508274231678
learned_shape,0.7,1576,948,628,0.6015228426395939,0.39847715736040606,0.8396624472573839,0.16033755274261605,458,152,306,0.6681222707423581,322,0.4872611464968153
learned_shape,0.8,1576,653,923,0.4143401015228426,0.5856598984771574,0.8713629402756509,0.12863705972434916,458,84,374,0.8165938864628821,549,0.40520043336944744
learned_full,0.5,1576,1217,359,0.7722081218274112,0.22779187817258884,0.8225143796220213,0.17748562037797863,458,216,242,0.5283842794759825,117,0.6740947075208914
learned_full,0.6,1576,1056,520,0.6700507614213198,0.3299492385786802,0.8645833333333334,0.13541666666666666,458,143,315,0.6877729257641921,205,0.6057692307692307
learned_full,0.7,1576,916,660,0.5812182741116751,0.41878172588832485,0.8973799126637555,0.10262008733624454,458,94,364,0.7947598253275109,296,0.5515151515151515
learned_full,0.8,1576,725,851,0.4600253807106599,0.5399746192893401,0.926896551724138,0.07310344827586207,458,53,405,0.8842794759825328,446,0.47591069330199764
