policy,target_in_taxonomy_coverage,in_taxonomy_acceptance_cutoff,n_tde,n_tde_deferred,tde_deferral_fraction,tde_deferral_wilson_low,tde_deferral_wilson_high,tde_score_median,tde_score_min,tde_score_max,note
raw_confidence,0.8,0.35349600000000003,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.360352,0.143808,0.629472,Exploratory taxonomy-gap stress test; not formal OOD validation.
raw_confidence,0.9,0.312,30,6,0.2,0.0950510717728987,0.3730569641314825,0.360352,0.143808,0.629472,Exploratory taxonomy-gap stress test; not formal OOD validation.
calibrated_confidence,0.8,0.5131482252308467,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.6006037368505833,0.23370681341211316,0.9367752172544694,Exploratory taxonomy-gap stress test; not formal OOD validation.
calibrated_confidence,0.9,0.43243037839670717,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.6006037368505833,0.23370681341211316,0.9367752172544694,Exploratory taxonomy-gap stress test; not formal OOD validation.
raw_margin,0.8,0.06402000000000002,30,9,0.3,0.16664748268243793,0.47875787458714947,0.09701999999999998,0.0017759999999999998,0.436128,Exploratory taxonomy-gap stress test; not formal OOD validation.
raw_margin,0.9,0.031935999999999964,30,5,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.09701999999999998,0.0017759999999999998,0.436128,Exploratory taxonomy-gap stress test; not formal OOD validation.
calibrated_margin,0.8,0.18863214730887565,30,9,0.3,0.16664748268243793,0.47875787458714947,0.2921362212662274,0.006708548763837918,0.8865317216403465,Exploratory taxonomy-gap stress test; not formal OOD validation.
calibrated_margin,0.9,0.09674352086394156,30,5,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.2921362212662274,0.006708548763837918,0.8865317216403465,Exploratory taxonomy-gap stress test; not formal OOD validation.
raw_negative_entropy,0.8,0.46174515531713267,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.394407175590971,0.09366301951622114,0.616821123046112,Exploratory taxonomy-gap stress test; not formal OOD validation.
raw_negative_entropy,0.9,0.3584192157150451,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.394407175590971,0.09366301951622114,0.616821123046112,Exploratory taxonomy-gap stress test; not formal OOD validation.
predicted_class_rate,0.8,0.49859770604050213,30,15,0.5,0.33154125640533766,0.6684587435946623,0.4108818941809077,0.315056029115985,0.874135103475205,Exploratory taxonomy-gap stress test; not formal OOD validation.
predicted_class_rate,0.9,0.4440919904837431,30,15,0.5,0.33154125640533766,0.6684587435946623,0.4108818941809077,0.315056029115985,0.874135103475205,Exploratory taxonomy-gap stress test; not formal OOD validation.
learned_shape,0.8,0.541147649754972,30,9,0.3,0.16664748268243793,0.47875787458714947,0.6636317013290476,0.03398471817119525,0.9262991962738281,Exploratory taxonomy-gap stress test; not formal OOD validation.
learned_shape,0.9,0.45649941750510087,30,3,0.1,0.03459988874733419,0.25621082579184085,0.6636317013290476,0.03398471817119525,0.9262991962738281,Exploratory taxonomy-gap stress test; not formal OOD validation.
learned_full,0.8,0.4696193111560854,30,15,0.5,0.33154125640533766,0.6684587435946623,0.4678927019522698,0.022400171551816384,0.9947953421454941,Exploratory taxonomy-gap stress test; not formal OOD validation.
learned_full,0.9,0.33030414381480805,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.4678927019522698,0.022400171551816384,0.9947953421454941,Exploratory taxonomy-gap stress test; not formal OOD validation.
